Fecha,Dolar
03/01/11,12.2574
04/01/11,12.2619
05/01/11,12.2064
06/01/11,12.2256
07/01/11,12.2369
10/01/11,12.2542
11/01/11,12.1907
12/01/11,12.0757
13/01/11,12.1028
14/01/11,12.0871
17/01/11,12.0299
18/01/11,12.0261
19/01/11,12.0744
20/01/11,12.0903
21/01/11,12.0482
24/01/11,12.0516
25/01/11,12.0856
26/01/11,12.0408
27/01/11,12.0239
28/01/11,12.1214
31/01/11,12.1519
01/02/11,12.017
02/02/11,12.019
03/02/11,12.0499
04/02/11,11.9946
08/02/11,11.9937
09/02/11,12.0432
10/02/11,12.0937
11/02/11,12.0635
14/02/11,12.0461
15/02/11,12.114
16/02/11,12.0957
17/02/11,12.0483
18/02/11,12.0172
21/02/11,12.0558
22/02/11,12.0917
23/02/11,12.19
24/02/11,12.173
25/02/11,12.1235
28/02/11,12.1062
01/03/11,12.0929
02/03/11,12.0981
03/03/11,12.0368
04/03/11,12.0064
07/03/11,12.017
08/03/11,12.0254
09/03/11,11.968
10/03/11,11.9755
11/03/11,11.9441
14/03/11,11.9235
15/03/11,12.0171
16/03/11,12.071
17/03/11,12.0925
18/03/11,12.0615
22/03/11,11.9885
23/03/11,12.0004
24/03/11,11.9555
25/03/11,11.9505
28/03/11,11.959
29/03/11,11.9678
30/03/11,11.9219
31/03/11,11.9084
01/04/11,11.8412
04/04/11,11.8533
05/04/11,11.8322
06/04/11,11.7836
07/04/11,11.7931
08/04/11,11.7421
11/04/11,11.7447
12/04/11,11.8266
13/04/11,11.7907
14/04/11,11.7679
15/04/11,11.709
18/04/11,11.7783
19/04/11,11.6925
20/04/11,11.6252
25/04/11,11.6294
26/04/11,11.5824
27/04/11,11.5868
28/04/11,11.5428
29/04/11,11.5278
02/05/11,11.5023
03/05/11,11.5665
04/05/11,11.6214
05/05/11,11.6934
06/05/11,11.609
09/05/11,11.641
10/05/11,11.6009
11/05/11,11.6075
12/05/11,11.6656
13/05/11,11.7219
16/05/11,11.7094
17/05/11,11.766
18/05/11,11.7234
19/05/11,11.6588
20/05/11,11.6467
23/05/11,11.7292
24/05/11,11.7032
25/05/11,11.6948
26/05/11,11.6956
27/05/11,11.6256
30/05/11,11.6123
31/05/11,11.578
01/06/11,11.6277
02/06/11,11.6739
03/06/11,11.6689
06/06/11,11.6983
07/06/11,11.7196
08/06/11,11.8001
09/06/11,11.7965
10/06/11,11.8686
13/06/11,11.868
14/06/11,11.7982
15/06/11,11.8751
16/06/11,11.9591
17/06/11,11.9006
20/06/11,11.8916
21/06/11,11.813
22/06/11,11.7789
23/06/11,11.8816
24/06/11,11.8822
27/06/11,11.8938
28/06/11,11.8389
29/06/11,11.7748
30/06/11,11.723
01/07/11,11.6368
04/07/11,11.5925
05/07/11,11.6194
06/07/11,11.6544
07/07/11,11.5738
08/07/11,11.6337
11/07/11,11.7274
12/07/11,11.7867
13/07/11,11.717
14/07/11,11.701
15/07/11,11.7178
18/07/11,11.7877
19/07/11,11.6964
20/07/11,11.6638
21/07/11,11.6174
22/07/11,11.6393
25/07/11,11.6641
26/07/11,11.6172
27/07/11,11.6527
28/07/11,11.6821
29/07/11,11.7425
01/08/11,11.7514
02/08/11,11.7657
03/08/11,11.8473
04/08/11,11.9523
05/08/11,11.9794
08/08/11,12.1845
09/08/11,12.371
10/08/11,12.3221
11/08/11,12.3899
12/08/11,12.2992
15/08/11,12.2424
16/08/11,12.2631
17/08/11,12.1651
18/08/11,12.3685
19/08/11,12.2386
22/08/11,12.2948
23/08/11,12.3357
24/08/11,12.3952
25/08/11,12.4259
26/08/11,12.4953
29/08/11,12.4148
30/08/11,12.4838
31/08/11,12.348
01/09/11,12.2616
02/09/11,12.3735
05/09/11,12.5353
06/09/11,12.5102
07/09/11,12.4661
08/09/11,12.4956
09/09/11,12.6324
12/09/11,12.7687
13/09/11,12.8994
14/09/11,12.9646
15/09/11,12.9127
19/09/11,13.186
20/09/11,13.1669
21/09/11,13.4045
22/09/11,13.8917
23/09/11,13.7788
26/09/11,13.6677
27/09/11,13.3414
28/09/11,13.4217
29/09/11,13.4567
30/09/11,13.7994
03/10/11,13.8967
04/10/11,13.9714
05/10/11,13.6675
06/10/11,13.5341
07/10/11,13.3143
10/10/11,13.2751
11/10/11,13.3266
12/10/11,13.2213
13/10/11,13.3647
14/10/11,13.2711
17/10/11,13.2952
18/10/11,13.4445
19/10/11,13.3733
20/10/11,13.6628
21/10/11,13.5996
24/10/11,13.4889
25/10/11,13.4459
26/10/11,13.4914
27/10/11,13.1973
28/10/11,13.1132
31/10/11,13.1802
01/11/11,13.6282
03/11/11,13.4128
04/11/11,13.4698
07/11/11,13.4504
08/11/11,13.3852
09/11/11,13.5252
10/11/11,13.5622
11/11/11,13.4165
14/11/11,13.5122
15/11/11,13.5672
16/11/11,13.5847
17/11/11,13.6375
18/11/11,13.7033
22/11/11,13.9812
23/11/11,14.1291
24/11/11,14.1778
25/11/11,14.2443
28/11/11,14.0344
29/11/11,13.9538
30/11/11,13.61
01/12/11,13.5894
02/12/11,13.5488
05/12/11,13.4786
06/12/11,13.497
07/12/11,13.5118
08/12/11,13.6569
09/12/11,13.6406
13/12/11,13.7714
14/12/11,13.9412
15/12/11,13.823
16/12/11,13.845
19/12/11,13.8542
20/12/11,13.772
21/12/11,13.8526
22/12/11,13.8169
23/12/11,13.8163
26/12/11,13.8483
27/12/11,13.9658
28/12/11,13.9904
29/12/11,13.9787
30/12/11,13.9476
02/01/12,13.9342
03/01/12,13.6882
04/01/12,13.7144
05/01/12,13.7409
06/01/12,13.7228
09/01/12,13.7437
10/01/12,13.6204
11/01/12,13.6592
12/01/12,13.5982
13/01/12,13.6263
16/01/12,13.5401
17/01/12,13.4621
18/01/12,13.3267
19/01/12,13.2516
20/01/12,13.224
23/01/12,13.1383
24/01/12,13.1712
25/01/12,13.1319
26/01/12,12.9325
27/01/12,12.9504
30/01/12,13.0063
31/01/12,13.0077
01/02/12,12.89
02/02/12,12.8038
03/02/12,12.712
07/02/12,12.6472
08/02/12,12.6833
09/02/12,12.72
10/02/12,12.7857
13/02/12,12.7392
14/02/12,12.7753
15/02/12,12.7658
16/02/12,12.8822
17/02/12,12.7856
20/02/12,12.6793
21/02/12,12.7408
22/02/12,12.8296
23/02/12,12.8294
24/02/12,12.8675
27/02/12,12.8779
28/02/12,12.8575
29/02/12,12.7891
01/03/12,12.7764
02/03/12,12.7723
05/03/12,12.8339
06/03/12,12.9777
07/03/12,12.9469
08/03/12,12.784
09/03/12,12.6299
12/03/12,12.715
13/03/12,12.6336
14/03/12,12.6719
15/03/12,12.6591
16/03/12,12.6645
20/03/12,12.6935
21/03/12,12.6833
22/03/12,12.833
23/03/12,12.8035
26/03/12,12.6795
27/03/12,12.6706
28/03/12,12.8039
29/03/12,12.8489
30/03/12,12.8093
02/04/12,12.7691
03/04/12,12.7317
04/04/12,12.8155
09/04/12,12.9902
10/04/12,13.1568
11/04/12,13.1324
12/04/12,13.0736
13/04/12,13.1458
16/04/12,13.2168
17/04/12,13.0816
18/04/12,13.1322
19/04/12,13.2288
20/04/12,13.1171
23/04/12,13.2087
24/04/12,13.1392
25/04/12,13.1667
26/04/12,13.2093
27/04/12,13.0141
30/04/12,12.9942
02/05/12,12.9629
03/05/12,12.9725
04/05/12,13.1344
07/05/12,13.1659
08/05/12,13.3374
09/05/12,13.515
10/05/12,13.447
11/05/12,13.4929
14/05/12,13.6739
15/05/12,13.7302
16/05/12,13.7747
17/05/12,13.7994
18/05/12,13.7809
21/05/12,13.7935
22/05/12,13.7203
23/05/12,14.0335
24/05/12,14.004
25/05/12,14.0156
28/05/12,13.9439
29/05/12,13.9169
30/05/12,14.0749
31/05/12,14.3047
01/06/12,14.3949
04/06/12,14.2443
05/06/12,14.2319
06/06/12,14.1116
07/06/12,13.9355
08/06/12,14.0351
11/06/12,13.9625
12/06/12,14.006
13/06/12,13.97
14/06/12,13.9974
15/06/12,13.9115
18/06/12,13.9154
19/06/12,13.7033
20/06/12,13.7257
21/06/12,13.7668
22/06/12,13.849
25/06/12,13.9542
26/06/12,13.8616
27/06/12,13.6652
28/06/12,13.653
29/06/12,13.4084
02/07/12,13.397
03/07/12,13.3174
04/07/12,13.3617
05/07/12,13.3508
06/07/12,13.4925
09/07/12,13.4533
10/07/12,13.2924
11/07/12,13.3241
12/07/12,13.4795
13/07/12,13.3449
16/07/12,13.2832
17/07/12,13.2226
18/07/12,13.1201
19/07/12,13.1921
20/07/12,13.2928
23/07/12,13.5218
24/07/12,13.6796
25/07/12,13.6541
26/07/12,13.4425
27/07/12,13.2837
30/07/12,13.2644
31/07/12,13.2833
01/08/12,13.2867
02/08/12,13.3927
03/08/12,13.1357
06/08/12,13.0708
07/08/12,13.1849
08/08/12,13.1891
09/08/12,13.1188
10/08/12,13.1094
13/08/12,13.1474
14/08/12,13.1311
15/08/12,13.1639
16/08/12,13.143
17/08/12,13.1745
20/08/12,13.1261
21/08/12,13.0854
22/08/12,13.1762
23/08/12,13.1284
24/08/12,13.176
27/08/12,13.1703
28/08/12,13.1847
29/08/12,13.2746
30/08/12,13.4172
31/08/12,13.2571
03/09/12,13.191
04/09/12,13.1793
05/09/12,13.1221
06/09/12,13.0483
07/09/12,12.9976
10/09/12,12.9921
11/09/12,12.9992
12/09/12,13.0305
13/09/12,12.9749
14/09/12,12.7458
17/09/12,12.7492
18/09/12,12.8192
19/09/12,12.8235
20/09/12,12.9042
21/09/12,12.8376
24/09/12,12.9123
25/09/12,12.8233
26/09/12,12.917
27/09/12,12.8521
28/09/12,12.8695
01/10/12,12.8178
02/10/12,12.8375
03/10/12,12.8528
04/10/12,12.7589
05/10/12,12.6987
08/10/12,12.8426
09/10/12,12.868
10/10/12,12.9119
11/10/12,12.8792
12/10/12,12.8901
15/10/12,12.8188
16/10/12,12.8077
17/10/12,12.7981
18/10/12,12.8299
19/10/12,12.8551
22/10/12,12.8571
23/10/12,12.9759
24/10/12,12.9839
25/10/12,12.9669
26/10/12,13.0112
29/10/12,13.09
30/10/12,13.0498
31/10/12,13.0911
01/11/12,13.0387
05/11/12,13.0449
06/11/12,12.9769
07/11/12,13.0432
08/11/12,13.1168
09/11/12,13.1789
12/11/12,13.1975
13/11/12,13.2284
14/11/12,13.2353
15/11/12,13.2522
16/11/12,13.2063
20/11/12,13.0245
21/11/12,13.0395
22/11/12,13.0188
23/11/12,12.9799
26/11/12,12.9984
27/11/12,12.9861
28/11/12,13.0372
29/11/12,12.9617
30/11/12,12.9268
03/12/12,12.9335
04/12/12,12.96
05/12/12,12.9284
06/12/12,12.9102
07/12/12,12.8469
10/12/12,12.7964
11/12/12,12.7584
13/12/12,12.7869
14/12/12,12.7768
17/12/12,12.7624
18/12/12,12.7236
19/12/12,12.7327
20/12/12,12.7777
21/12/12,12.8991
24/12/12,12.9764
26/12/12,13.0058
27/12/12,13.0101
28/12/12,12.988
31/12/12,12.9658
02/01/13,12.7488
03/01/13,12.743
04/01/13,12.7597
07/01/13,12.7679
08/01/13,12.8015
09/01/13,12.7503
10/01/13,12.6555
11/01/13,12.6478
14/01/13,12.6533
15/01/13,12.6526
16/01/13,12.6305
17/01/13,12.5868
18/01/13,12.6555
21/01/13,12.7098
22/01/13,12.6817
23/01/13,12.6616
24/01/13,12.6286
25/01/13,12.6993
28/01/13,12.7802
29/01/13,12.7134
30/01/13,12.7408
31/01/13,12.7094
01/02/13,12.6377
05/02/13,12.6294
06/02/13,12.6664
07/02/13,12.7105
08/02/13,12.7307
11/02/13,12.7706
12/02/13,12.7364
13/02/13,12.7116
14/02/13,12.6982
15/02/13,12.6866
18/02/13,12.6959
19/02/13,12.6873
20/02/13,12.6694
21/02/13,12.7699
22/02/13,12.7517
25/02/13,12.7028
26/02/13,12.868
27/02/13,12.8322
28/02/13,12.7795
01/03/13,12.8012
04/03/13,12.7814
05/03/13,12.7355
06/03/13,12.7345
07/03/13,12.7839
08/03/13,12.6684
11/03/13,12.5308
12/03/13,12.4641
13/03/13,12.3967
14/03/13,12.4545
15/03/13,12.439
19/03/13,12.4339
20/03/13,12.3909
21/03/13,12.3841
22/03/13,12.3724
25/03/13,12.3579
26/03/13,12.3546
27/03/13,12.3612
01/04/13,12.3438
02/04/13,12.2728
03/04/13,12.3266
04/04/13,12.3197
05/04/13,12.2383
08/04/13,12.1588
09/04/13,12.1304
10/04/13,12.114
11/04/13,12.0691
12/04/13,12.0824
15/04/13,12.1729
16/04/13,12.1668
17/04/13,12.237
18/04/13,12.2479
19/04/13,12.2254
22/04/13,12.3227
23/04/13,12.2492
24/04/13,12.2768
25/04/13,12.1231
26/04/13,12.155
29/04/13,12.1326
30/04/13,12.1456
02/05/13,12.1756
03/05/13,12.0851
06/05/13,12.1074
07/05/13,12.0733
08/05/13,12.0393
09/05/13,11.9807
10/05/13,12.1094
13/05/13,12.1448
14/05/13,12.1485
15/05/13,12.2313
16/05/13,12.2378
17/05/13,12.3177
20/05/13,12.3258
21/05/13,12.3414
22/05/13,12.3113
23/05/13,12.4764
24/05/13,12.5219
27/05/13,12.4831
28/05/13,12.5275
29/05/13,12.6328
30/05/13,12.7781
31/05/13,12.8035
03/06/13,12.7882
04/06/13,12.7317
05/06/13,12.8167
06/06/13,12.9079
07/06/13,12.7173
10/06/13,12.8572
11/06/13,12.8846
12/06/13,12.8442
13/06/13,12.7812
14/06/13,12.6916
17/06/13,12.737
18/06/13,12.88
19/06/13,12.8695
20/06/13,13.4015
21/06/13,13.4041
24/06/13,13.3966
25/06/13,13.2424
26/06/13,13.1884
27/06/13,13.0235
28/06/13,13.0279
01/07/13,12.9131
02/07/13,12.985
03/07/13,13.0377
04/07/13,12.8902
05/07/13,13.0567
08/07/13,12.9267
09/07/13,12.8654
10/07/13,12.9494
11/07/13,12.8599
12/07/13,12.8234
15/07/13,12.7387
16/07/13,12.6299
17/07/13,12.5455
18/07/13,12.4976
19/07/13,12.5499
22/07/13,12.5054
23/07/13,12.5093
24/07/13,12.633
25/07/13,12.6468
26/07/13,12.7091
29/07/13,12.7321
30/07/13,12.7635
31/07/13,12.8464
01/08/13,12.8068
02/08/13,12.6904
05/08/13,12.6759
06/08/13,12.6445
07/08/13,12.6989
08/08/13,12.646
09/08/13,12.5889
12/08/13,12.5666
13/08/13,12.7545
14/08/13,12.7255
15/08/13,12.8625
16/08/13,12.8722
19/08/13,13.0124
20/08/13,13.0064
21/08/13,13.1424
22/08/13,13.1486
23/08/13,12.9979
26/08/13,13.109
27/08/13,13.3366
28/08/13,13.2539
29/08/13,13.3104
30/08/13,13.3415
02/09/13,13.307
03/09/13,13.4394
04/09/13,13.3065
05/09/13,13.4079
06/09/13,13.2413
09/09/13,13.1471
10/09/13,13.1119
11/09/13,13.0938
12/09/13,13.0854
13/09/13,13.054
17/09/13,12.9241
18/09/13,12.9687
19/09/13,12.7179
20/09/13,12.7685
23/09/13,12.7846
24/09/13,12.8754
25/09/13,12.953
26/09/13,13.0119
27/09/13,13.145
30/09/13,13.1747
01/10/13,13.1294
02/10/13,13.1593
03/10/13,13.2663
04/10/13,13.0976
07/10/13,13.0959
08/10/13,13.1417
09/10/13,13.2126
10/10/13,13.0913
11/10/13,13.0514
14/10/13,13.0492
15/10/13,12.9725
16/10/13,12.8816
17/10/13,12.7717
18/10/13,12.7988
21/10/13,12.9314
22/10/13,12.8713
23/10/13,12.9433
24/10/13,12.9916
25/10/13,12.8693
28/10/13,12.8948
29/10/13,12.8903
30/10/13,12.864
31/10/13,13.0067
01/11/13,13.0789
04/11/13,12.9869
05/11/13,13.1341
06/11/13,13.1388
07/11/13,13.1912
08/11/13,13.2412
11/11/13,13.2314
12/11/13,13.1879
13/11/13,13.103
14/11/13,13.0173
15/11/13,12.9524
19/11/13,12.8869
20/11/13,12.9697
21/11/13,13.0617
22/11/13,13.0223
25/11/13,13.0267
26/11/13,13.0745
27/11/13,13.0925
28/11/13,13.0836
29/11/13,13.1101
02/12/13,13.2041
03/12/13,13.2372
04/12/13,13.0826
05/12/13,13.0057
06/12/13,12.9299
09/12/13,12.8612
10/12/13,12.8574
11/12/13,12.9342
13/12/13,12.9515
16/12/13,12.9439
17/12/13,12.9575
18/12/13,12.9937
19/12/13,12.973
20/12/13,12.9574
23/12/13,12.961
24/12/13,13.02
26/12/13,13.0547
27/12/13,13.0765
30/12/13,13.0652
31/12/13,13.0843
02/01/14,13.1011
03/01/14,13.0911
06/01/14,13.0905
07/01/14,13.0337
08/01/14,13.0846
09/01/14,13.1403
10/01/14,13.0065
13/01/14,12.9889
14/01/14,13.0956
15/01/14,13.1689
16/01/14,13.2907
17/01/14,13.2737
20/01/14,13.242
21/01/14,13.2984
22/01/14,13.3194
23/01/14,13.3722
24/01/14,13.493
27/01/14,13.4408
28/01/14,13.3104
29/01/14,13.3671
30/01/14,13.3207
31/01/14,13.3769
04/02/14,13.3928
05/02/14,13.3705
06/02/14,13.2211
07/02/14,13.3285
10/02/14,13.3134
11/02/14,13.2916
12/02/14,13.3056
13/02/14,13.332
14/02/14,13.2477
17/02/14,13.1949
18/02/14,13.2261
19/02/14,13.2714
20/02/14,13.2913
21/02/14,13.2704
24/02/14,13.209
25/02/14,13.2248
26/02/14,13.2992
27/02/14,13.3066
28/02/14,13.2379
03/03/14,13.3201
04/03/14,13.2752
05/03/14,13.2519
06/03/14,13.1476
07/03/14,13.1795
10/03/14,13.2248
11/03/14,13.243
12/03/14,13.2659
13/03/14,13.2456
14/03/14,13.234
18/03/14,13.1675
19/03/14,13.1695
20/03/14,13.2703
21/03/14,13.22
24/03/14,13.2019
25/03/14,13.1349
26/03/14,13.1273
27/03/14,13.0837
28/03/14,13.0841
